formula,T(K),composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,pred_k(W/mK)
KMgAs,500,K1 Mg1 As1,12.0,33.0,21.0,21.33333333333333,7.777777777777778,12.0,3.0,84.0,81.0,51.66666666666666,32.44444444444445,3.0,24.305,74.9216,50.6166,46.10830000000001,19.20886666666667,24.305,336.53,1090.0,753.47,783.1766666666666,297.76444444444445,336.53,1.0,15.0,14.0,6.0,6.0,1.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,3.0,119.0,203.0,84.0,154.33333333333334,32.44444444444445,119.0,0.82,2.18,1.3600000000000003,1.4366666666666668,0.4955555555555556,0.82,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,1.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,10.0,10.0,3.333333333333333,4.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,14.0,6.0,6.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.3333333333333333,1.111111111111111,0.0,22.175,73.1066666667,50.9316666667,39.39055555556666,22.47740740742222,22.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,196.3333333333333,21.777777777777786,166.0,1.4902228
KMgAs,600,K1 Mg1 As1,12.0,33.0,21.0,21.33333333333333,7.777777777777778,12.0,3.0,84.0,81.0,51.66666666666666,32.44444444444445,3.0,24.305,74.9216,50.6166,46.10830000000001,19.20886666666667,24.305,336.53,1090.0,753.47,783.1766666666666,297.76444444444445,336.53,1.0,15.0,14.0,6.0,6.0,1.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,3.0,119.0,203.0,84.0,154.33333333333334,32.44444444444445,119.0,0.82,2.18,1.3600000000000003,1.4366666666666668,0.4955555555555556,0.82,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,1.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,10.0,10.0,3.333333333333333,4.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,14.0,6.0,6.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.3333333333333333,1.111111111111111,0.0,22.175,73.1066666667,50.9316666667,39.39055555556666,22.47740740742222,22.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,196.3333333333333,21.777777777777786,166.0,1.4508883
KMgSb,500,K1 Mg1 Sb1,12.0,51.0,39.0,27.33333333333333,15.777777777777777,12.0,3.0,85.0,82.0,52.0,32.666666666666664,3.0,24.305,121.76,97.455,61.7211,40.02593333333333,24.305,336.53,923.0,586.47,721.1033333333334,256.3822222222222,336.53,1.0,15.0,14.0,6.0,6.0,1.0,3.0,5.0,2.0,4.0,0.6666666666666666,3.0,139.0,203.0,64.0,161.0,28.0,139.0,0.82,2.05,1.23,1.393333333333333,0.4377777777777776,0.82,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,1.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,10.0,10.0,3.333333333333333,4.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,14.0,6.0,6.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.3333333333333333,1.111111111111111,0.0,22.89,73.1066666667,50.21666666669999,42.5188888889,20.391851851866665,22.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,196.3333333333333,21.777777777777786,166.0,1.1447096
KMgAs,700,K1 Mg1 As1,12.0,33.0,21.0,21.33333333333333,7.777777777777778,12.0,3.0,84.0,81.0,51.66666666666666,32.44444444444445,3.0,24.305,74.9216,50.6166,46.10830000000001,19.20886666666667,24.305,336.53,1090.0,753.47,783.1766666666666,297.76444444444445,336.53,1.0,15.0,14.0,6.0,6.0,1.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,3.0,119.0,203.0,84.0,154.33333333333334,32.44444444444445,119.0,0.82,2.18,1.3600000000000003,1.4366666666666668,0.4955555555555556,0.82,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,1.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,10.0,10.0,3.333333333333333,4.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,14.0,6.0,6.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.3333333333333333,1.111111111111111,0.0,22.175,73.1066666667,50.9316666667,39.39055555556666,22.47740740742222,22.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,196.3333333333333,21.777777777777786,166.0,1.4347123
KMgSb,300,K1 Mg1 Sb1,12.0,51.0,39.0,27.33333333333333,15.777777777777777,12.0,3.0,85.0,82.0,52.0,32.666666666666664,3.0,24.305,121.76,97.455,61.7211,40.02593333333333,24.305,336.53,923.0,586.47,721.1033333333334,256.3822222222222,336.53,1.0,15.0,14.0,6.0,6.0,1.0,3.0,5.0,2.0,4.0,0.6666666666666666,3.0,139.0,203.0,64.0,161.0,28.0,139.0,0.82,2.05,1.23,1.393333333333333,0.4377777777777776,0.82,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,1.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,10.0,10.0,3.333333333333333,4.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,14.0,6.0,6.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.3333333333333333,1.111111111111111,0.0,22.89,73.1066666667,50.21666666669999,42.5188888889,20.391851851866665,22.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,196.3333333333333,21.777777777777786,166.0,1.412438
KMgSb,400,K1 Mg1 Sb1,12.0,51.0,39.0,27.33333333333333,15.777777777777777,12.0,3.0,85.0,82.0,52.0,32.666666666666664,3.0,24.305,121.76,97.455,61.7211,40.02593333333333,24.305,336.53,923.0,586.47,721.1033333333334,256.3822222222222,336.53,1.0,15.0,14.0,6.0,6.0,1.0,3.0,5.0,2.0,4.0,0.6666666666666666,3.0,139.0,203.0,64.0,161.0,28.0,139.0,0.82,2.05,1.23,1.393333333333333,0.4377777777777776,0.82,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,1.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,10.0,10.0,3.333333333333333,4.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,14.0,6.0,6.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.3333333333333333,1.111111111111111,0.0,22.89,73.1066666667,50.21666666669999,42.5188888889,20.391851851866665,22.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,196.3333333333333,21.777777777777786,166.0,1.2160311
BiSbS3,300,Bi1 Sb1 S3,16.0,83.0,67.0,36.4,24.48,16.0,85.0,88.0,3.0,87.0,1.2,88.0,32.065,208.9804,176.9154,85.38708,63.98649600000001,32.065,388.36,903.78,515.42,522.6519999999999,161.15039999999996,388.36,15.0,16.0,1.0,15.6,0.4800000000000001,16.0,3.0,6.0,3.0,4.0,1.2,3.0,105.0,148.0,43.0,120.4,18.48,105.0,2.02,2.58,0.56,2.362,0.2616,2.58,2.0,2.0,0.0,2.0,0.0,2.0,3.0,4.0,1.0,3.6,0.48,4.0,0.0,10.0,10.0,4.0,4.8,0.0,0.0,14.0,14.0,2.8,4.48,0.0,6.0,29.0,23.0,12.4,7.6800000000000015,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.4,0.48,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.4,0.48,2.0,25.786875,32.95,7.163125000000004,28.374125000000003,3.104700000000002,25.786875,0.0,2.202,2.202,1.3212,1.05696,2.202,0.0,0.0,0.0,0.0,0.0,0.0,12.0,166.0,154.0,77.6,35.36,70.0,1.0788405
BiSbS4,400,Bi1 Sb1 S4,16.0,83.0,67.0,33.0,22.666666666666668,16.0,85.0,88.0,3.0,87.16666666666667,1.1111111111111096,88.0,32.065,208.9804,176.9154,76.50006666666667,59.24675555555556,32.065,388.36,903.78,515.42,500.27,149.2133333333333,388.36,15.0,16.0,1.0,15.666666666666666,0.4444444444444446,16.0,3.0,6.0,3.0,3.8333333333333335,1.1111111111111112,3.0,105.0,148.0,43.0,117.83333333333331,17.11111111111111,105.0,2.02,2.58,0.56,2.398333333333333,0.2422222222222222,2.58,2.0,2.0,0.0,2.0,0.0,2.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,4.0,0.0,10.0,10.0,3.333333333333333,4.444444444444444,0.0,0.0,14.0,14.0,2.333333333333333,3.888888888888889,0.0,6.0,29.0,23.0,11.333333333333334,7.111111111111111,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.333333333333333,0.4444444444444445,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.333333333333333,0.4444444444444445,2.0,25.786875,32.95,7.163125000000004,27.942916666666665,2.874722222222223,25.786875,0.0,2.202,2.202,1.468,0.9786666666666668,2.202,0.0,0.0,0.0,0.0,0.0,0.0,12.0,166.0,154.0,76.33333333333333,29.88888888888889,70.0,0.878506
BiSbS5,500,Bi1 Sb1 S5,16.0,83.0,67.0,30.571428571428573,20.816326530612248,16.0,85.0,88.0,3.0,87.28571428571429,1.0204081632653037,88.0,32.065,208.9804,176.9154,70.15220000000001,54.41028571428571,32.065,388.36,903.78,515.42,484.2828571428572,137.0326530612245,388.36,15.0,16.0,1.0,15.714285714285714,0.4081632653061228,16.0,3.0,6.0,3.0,3.7142857142857135,1.020408163265306,3.0,105.0,148.0,43.0,116.0,15.714285714285714,105.0,2.02,2.58,0.56,2.424285714285714,0.2224489795918369,2.58,2.0,2.0,0.0,2.0,0.0,2.0,3.0,4.0,1.0,3.7142857142857135,0.4081632653061224,4.0,0.0,10.0,10.0,2.857142857142857,4.081632653061225,0.0,0.0,14.0,14.0,2.0,3.4285714285714284,0.0,6.0,29.0,23.0,10.571428571428571,6.530612244897959,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.2857142857142856,0.4081632653061224,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.2857142857142856,0.4081632653061224,2.0,25.786875,32.95,7.163125000000004,27.63491071428572,2.640051020408164,25.786875,0.0,2.202,2.202,1.5728571428571427,0.8987755102040816,2.202,0.0,0.0,0.0,0.0,0.0,0.0,12.0,166.0,154.0,75.42857142857143,25.877551020408166,70.0,0.88113844
BiSbS6,600,Bi1 Sb1 S6,16.0,83.0,67.0,28.75,19.125,16.0,85.0,88.0,3.0,87.375,0.9375,88.0,32.065,208.9804,176.9154,65.3913,49.989450000000005,32.065,388.36,903.78,515.42,472.2925,125.89874999999996,388.36,15.0,16.0,1.0,15.75,0.375,16.0,3.0,6.0,3.0,3.625,0.9375,3.0,105.0,148.0,43.0,114.625,14.4375,105.0,2.02,2.58,0.56,2.44375,0.204375,2.58,2.0,2.0,0.0,2.0,0.0,2.0,3.0,4.0,1.0,3.75,0.375,4.0,0.0,10.0,10.0,2.5,3.75,0.0,0.0,14.0,14.0,1.75,3.0625,0.0,6.0,29.0,23.0,10.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.25,0.375,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.25,0.375,2.0,25.786875,32.95,7.163125000000004,27.40390625,2.4255468750000007,25.786875,0.0,2.202,2.202,1.6515,0.82575,2.202,0.0,0.0,0.0,0.0,0.0,0.0,12.0,166.0,154.0,74.75,22.8125,70.0,0.91558576
CuGaTe2,400,Cu1 Ga1 Te2,29.0,52.0,23.0,41.0,11.0,52.0,64.0,90.0,26.0,79.5,10.5,90.0,63.546,127.6,64.054,97.11725,30.48275,127.6,302.91,1357.77,1054.86,776.5,290.635,722.66,11.0,16.0,5.0,14.0,2.0,16.0,4.0,5.0,1.0,4.5,0.5,5.0,122.0,138.0,16.0,132.5,5.5,138.0,1.81,2.1,0.29,1.9775,0.1225,2.1,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.25,1.75,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,5.0,14.0,2.0,16.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,2.25,1.375,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.5,1.25,2.0,11.07,34.7633333333,23.6933333333,24.86354166665,9.899791666649998,34.7633333333,0.0,0.464,0.464,0.232,0.232,0.464,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,148.25,42.125,152.0,3.399239
CuGaTe2,550,Cu1 Ga1 Te2,29.0,52.0,23.0,41.0,11.0,52.0,64.0,90.0,26.0,79.5,10.5,90.0,63.546,127.6,64.054,97.11725,30.48275,127.6,302.91,1357.77,1054.86,776.5,290.635,722.66,11.0,16.0,5.0,14.0,2.0,16.0,4.0,5.0,1.0,4.5,0.5,5.0,122.0,138.0,16.0,132.5,5.5,138.0,1.81,2.1,0.29,1.9775,0.1225,2.1,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.25,1.75,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,5.0,14.0,2.0,16.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,2.25,1.375,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.5,1.25,2.0,11.07,34.7633333333,23.6933333333,24.86354166665,9.899791666649998,34.7633333333,0.0,0.464,0.464,0.232,0.232,0.464,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,148.25,42.125,152.0,3.1684952
CuGaTe2,350,Cu1 Ga1 Te2,29.0,52.0,23.0,41.0,11.0,52.0,64.0,90.0,26.0,79.5,10.5,90.0,63.546,127.6,64.054,97.11725,30.48275,127.6,302.91,1357.77,1054.86,776.5,290.635,722.66,11.0,16.0,5.0,14.0,2.0,16.0,4.0,5.0,1.0,4.5,0.5,5.0,122.0,138.0,16.0,132.5,5.5,138.0,1.81,2.1,0.29,1.9775,0.1225,2.1,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.25,1.75,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,5.0,14.0,2.0,16.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,2.25,1.375,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.5,1.25,2.0,11.07,34.7633333333,23.6933333333,24.86354166665,9.899791666649998,34.7633333333,0.0,0.464,0.464,0.232,0.232,0.464,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,148.25,42.125,152.0,3.1950674
CuGaTe2,450,Cu1 Ga1 Te2,29.0,52.0,23.0,41.0,11.0,52.0,64.0,90.0,26.0,79.5,10.5,90.0,63.546,127.6,64.054,97.11725,30.48275,127.6,302.91,1357.77,1054.86,776.5,290.635,722.66,11.0,16.0,5.0,14.0,2.0,16.0,4.0,5.0,1.0,4.5,0.5,5.0,122.0,138.0,16.0,132.5,5.5,138.0,1.81,2.1,0.29,1.9775,0.1225,2.1,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.25,1.75,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,5.0,14.0,2.0,16.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,2.25,1.375,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.5,1.25,2.0,11.07,34.7633333333,23.6933333333,24.86354166665,9.899791666649998,34.7633333333,0.0,0.464,0.464,0.232,0.232,0.464,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,148.25,42.125,152.0,3.399239
CuGa0.99Ti0.01Te2,400,Cu1 Ga0.99 Ti0.01 Te2,22.0,52.0,30.0,40.9775,11.0225,52.0,43.0,90.0,47.0,79.4225,10.5775,90.0,47.867,127.6,79.733,97.06261,30.53739,127.6,302.91,1941.0,1638.09,780.595225,294.38941137500007,722.66,4.0,16.0,12.0,13.9775,2.0225,16.0,4.0,5.0,1.0,4.5,0.5,5.0,122.0,160.0,38.0,132.595,5.542025000000001,138.0,1.54,2.1,0.56,1.976825,0.123175,2.1,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.2475,1.7525,4.0,2.0,10.0,8.0,9.98,0.0398999999999995,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,12.0,13.9775,2.0225,16.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,2.2375,1.3674375,2.0,0.0,8.0,8.0,0.02,0.0399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,2.5075000000000003,1.2612500000000002,2.0,11.07,34.7633333333,23.6933333333,24.85812291665,9.905210416649997,34.7633333333,0.0,0.464,0.464,0.232,0.232,0.464,0.0,2.25333333333e-05,2.25333333333e-05,5.633333333325e-08,1.1238499999983377e-07,0.0,64.0,225.0,161.0,148.575,41.864625,152.0,3.2201989
CuGa0.99Ti0.01Te2,450,Cu1 Ga0.99 Ti0.01 Te2,22.0,52.0,30.0,40.9775,11.0225,52.0,43.0,90.0,47.0,79.4225,10.5775,90.0,47.867,127.6,79.733,97.06261,30.53739,127.6,302.91,1941.0,1638.09,780.595225,294.38941137500007,722.66,4.0,16.0,12.0,13.9775,2.0225,16.0,4.0,5.0,1.0,4.5,0.5,5.0,122.0,160.0,38.0,132.595,5.542025000000001,138.0,1.54,2.1,0.56,1.976825,0.123175,2.1,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.2475,1.7525,4.0,2.0,10.0,8.0,9.98,0.0398999999999995,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,12.0,13.9775,2.0225,16.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,2.2375,1.3674375,2.0,0.0,8.0,8.0,0.02,0.0399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,2.5075000000000003,1.2612500000000002,2.0,11.07,34.7633333333,23.6933333333,24.85812291665,9.905210416649997,34.7633333333,0.0,0.464,0.464,0.232,0.232,0.464,0.0,2.25333333333e-05,2.25333333333e-05,5.633333333325e-08,1.1238499999983377e-07,0.0,64.0,225.0,161.0,148.575,41.864625,152.0,3.2201989
BaSnS3,375,Ba1 Sn1 S3,16.0,56.0,40.0,30.8,17.76,16.0,9.0,88.0,79.0,70.6,24.640000000000004,88.0,32.065,137.327,105.262,70.4464,46.05768,32.065,388.36,1000.0,611.64,534.0319999999999,186.38719999999995,388.36,2.0,16.0,14.0,12.8,4.319999999999999,16.0,3.0,6.0,3.0,4.0,1.2,3.0,105.0,215.0,110.0,133.8,34.56,105.0,0.89,2.58,1.69,2.118,0.5544,2.58,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.8,1.44,4.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,12.0,6.8,2.88,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.8,2.0,25.786875,63.59,37.80312500000001,34.847125,11.49715,25.786875,0.0,2.202,2.202,1.3212,1.05696,2.202,0.0,0.0,0.0,0.0,0.0,0.0,70.0,229.0,159.0,116.0,55.2,70.0,2.0137331
CuGa0.97Ti0.03Te2,650,Cu1 Ga0.97 Ti0.03 Te2,22.0,52.0,30.0,40.9325,11.0675,52.0,43.0,90.0,47.0,79.2675,10.732499999999998,90.0,47.867,127.6,79.733,96.95333,30.64667,127.6,302.91,1941.0,1638.09,788.785675,301.775377375,722.66,4.0,16.0,12.0,13.9325,2.0675,16.0,4.0,5.0,1.0,4.5,0.5,5.0,122.0,160.0,38.0,132.785,5.623225,138.0,1.54,2.1,0.56,1.975475,0.124525,2.1,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.2425,1.7574999999999998,4.0,2.0,10.0,8.0,9.94,0.1191000000000004,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,12.0,13.9325,2.0675,16.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,2.2125,1.3519375,2.0,0.0,8.0,8.0,0.06,0.1191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,2.5225,1.28375,2.0,11.07,34.7633333333,23.6933333333,24.84728541665,9.916047916649998,34.7633333333,0.0,0.464,0.464,0.232,0.232,0.464,0.0,2.25333333333e-05,2.25333333333e-05,1.6899999999975e-07,3.3546499999950374e-07,0.0,64.0,225.0,161.0,149.225,41.334125,152.0,3.061999
